serial number,credit_amount
1,100001
2,100002
3,100003
4,100004
5,100005
6,100006
7,100007
8,100008
9,100009
10,100010
11,100011
12,100012
13,100013
14,100014
15,100015
16,100016
17,100017
18,100018
19,100019
20,100020
21,100021
22,100022
23,100023
24,100024
25,100025
26,100026
27,100027
28,100028
29,100029
30,100030
31,100031
32,100032
33,100033
34,100034
35,100035
36,100036
37,100037
38,100038
39,100039
40,100040
41,100041
42,100042
43,100043
44,100044
45,100045
46,100046
47,100047
48,100048
49,100049
50,100050
51,100051
52,100052
53,100053
54,100054
55,100055
56,100056
57,100057
58,100058
59,100059
60,100060
61,100061
62,100062
63,100063
64,100064
65,100065
66,100066
67,100067
68,100068
69,100069
70,100070
71,100071
72,100072
73,100073
74,100074
75,100075
76,100076
77,100077
78,100078
79,100079
80,100080
81,100081
82,100082
83,100083
84,100084
85,100085
86,100086
87,100087
88,100088
89,100089
90,100090
91,100091
92,100092
93,100093
94,100094
95,100095
96,100096
97,100097
98,100098
99,100099
100,100100
101,100101
102,100102
103,100103
104,100104
105,100105
106,100106
107,100107
108,100108
109,100109
110,100110
111,100111
112,100112
113,100113
114,100114
115,100115
116,100116
117,100117
118,100118
119,100119
120,100120
121,100121
122,100122
123,100123
124,100124
125,100125
126,100126
127,100127
128,100128
129,100129
130,100130
131,100131
132,100132
133,100133
134,100134
135,100135
136,100136
137,100137
138,100138
139,100139
140,100140
141,100141
142,100142
143,100143
144,100144
145,100145
146,100146
147,100147
148,100148
149,100149
150,100150
151,100151
152,100152
153,100153
154,100154
155,100155
156,100156
157,100157
158,100158
159,100159
160,100160
161,100161
162,100162
163,100163
164,100164
165,100165
166,100166
167,100167
168,100168
169,100169
170,100170
171,100171
172,100172
173,100173
174,100174
175,100175
176,100176
177,100177
178,100178
179,100179
180,100180
181,100181
182,100182
183,100183
184,100184
185,100185
186,100186
187,100187
188,100188
189,100189
190,100190
191,100191
192,100192
193,100193
194,100194
195,100195
196,100196
197,100197
198,100198
199,100199
200,100200
